altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
1.241000e+02	8.993090e-09	1.473910e+17	2.296216e+16	3.311853e+16	2.338368e+13	4.091684e+12	5.531766e+14	5.438274e+11	7.196060e-30	1.316649e+13	4.497072e+02
1.242000e+02	8.908295e-09	1.459824e+17	2.270146e+16	3.293280e+16	2.330600e+13	4.067239e+12	5.459019e+14	5.495984e+11	8.183621e-30	1.311977e+13	4.508483e+02
1.243000e+02	8.824682e-09	1.445936e+17	2.244452e+16	3.274891e+16	2.322906e+13	4.043048e+12	5.387484e+14	5.554285e+11	9.305433e-30	1.307433e+13	4.519828e+02
1.244000e+02	8.742189e-09	1.432233e+17	2.219156e+16	3.256675e+16	2.315300e+13	4.019118e+12	5.317122e+14	5.613112e+11	1.057892e-29	1.303014e+13	4.531104e+02
1.245000e+02	8.660773e-09	1.418710e+17	2.194215e+16	3.238625e+16	2.307766e+13	3.995424e+12	5.247884e+14	5.672468e+11	1.202468e-29	1.298729e+13	4.542318e+02
1.246000e+02	8.580494e-09	1.405374e+17	2.169664e+16	3.220752e+16	2.300306e+13	3.971980e+12	5.179790e+14	5.732381e+11	1.366489e-29	1.294571e+13	4.553469e+02
1.247000e+02	8.501265e-09	1.392212e+17	2.145469e+16	3.203051e+16	2.292924e+13	3.948772e+12	5.112814e+14	5.792863e+11	1.552587e-29	1.290545e+13	4.564559e+02
1.248000e+02	8.423021e-09	1.379215e+17	2.121607e+16	3.185482e+16	2.285607e+13	3.925795e+12	5.046875e+14	5.853878e+11	1.763828e-29	1.286647e+13	4.575591e+02
1.249000e+02	8.345817e-09	1.366390e+17	2.098098e+16	3.168092e+16	2.278364e+13	3.903053e+12	4.982029e+14	5.915441e+11	2.003243e-29	1.282883e+13	4.586566e+02
1.250000e+02	8.269644e-09	1.353738e+17	2.074917e+16	3.150839e+16	2.271184e+13	3.880539e+12	4.918196e+14	5.977561e+11	2.274948e-29	1.279243e+13	4.597487e+02
