id	ei[keV]	xi[cm]	yi[cm]	zi[cm]	xdi[cm]	ydi[cm]	zdi[cm]
149	2.542669000e+03	-5.746300000e-01	-6.803800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
150	3.048552000e+03	1.679000000e-01	-1.668700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
151	3.203870000e+03	4.654000000e-02	8.697000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
152	7.354656000e+03	4.638900000e-01	-6.386700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
153	8.133060000e+02	8.693800000e-01	-2.501400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
154	1.798194000e+03	-4.050200000e-01	6.645200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
155	7.500820000e+03	6.811600000e-01	-4.939700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
156	5.332015000e+03	5.000100000e-01	-1.275300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
157	6.744350000e+02	-1.105000000e-01	-8.505800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
158	8.075228000e+03	5.488700000e-01	-5.870700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
159	8.275976000e+03	1.540500000e-01	-2.015700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
160	1.474569000e+03	-3.315500000e-01	-8.718000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
161	8.536059000e+03	-4.440000000e-02	-2.181700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
162	1.295926000e+03	2.756300000e-01	6.637000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
163	3.046438000e+03	7.089400000e-01	6.564500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
164	6.584941000e+03	-1.245900000e-01	1.380000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
165	7.368253000e+03	2.412100000e-01	-7.358000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
166	7.154560000e+02	6.253200000e-01	2.756500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
167	3.383315000e+03	-4.717500000e-01	-2.963100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
